TransactionID,CustomerSegment,PurchaseAmount,TransactionDate
138,C,279.05,2024-06-27
139,C,94.3,2024-03-03
140,A,167.79,2024-12-17
141,A,266.5,2024-08-18
142,B,245.39,2024-08-28
143,C,150.14,2024-02-21
144,C,246.87,2024-04-05
145,A,266.7,2024-08-09
146,B,198.47,2024-08-18
147,C,227.98,2024-08-24
148,C,168.84,2024-05-22
149,B,302.21,2024-06-19
150,B,179.8,2024-01-29
151,C,89.67,2024-02-05
152,C,233.39,2024-01-13
153,B,110.3,2024-06-08
154,C,320.3,2024-11-22
155,A,224.63,2024-07-05
156,A,64.64,2024-08-30
157,B,272.14,2024-03-26
158,B,212.21,2024-10-10
159,B,255.35,2024-03-06
160,A,190.76,2024-06-18
161,C,313.56,2024-02-14
162,A,133.62,2024-03-02
163,C,277.96,2024-05-13
164,A,215.12,2024-10-10
165,C,75.79,2024-01-28
166,A,72.21,2024-04-17
167,B,161.9,2024-02-13
168,A,125.4,2024-12-05
169,C,64.47,2024-10-12
170,A,100.57,2024-11-26
171,A,172.71,2024-05-07
172,A,124.03,2024-12-13
173,B,465.83,2024-08-18
174,A,134.98,2024-07-08
175,B,306.77,2024-08-12
176,B,364.71,2024-10-09
177,A,145.42,2024-04-30
178,A,139.55,2024-04-25
179,A,147.01,2024-08-20
180,C,172.51,2024-09-15
181,A,156.22,2024-12-24
182,B,102.51,2024-07-16
183,A,217.96,2024-05-16
184,C,155.98,2024-11-13
185,A,473.45,2024-06-13
186,C,280.0,2024-08-12
187,C,157.06,2024-11-02
188,A,241.79,2024-08-21
189,B,237.68,2024-06-20
190,C,296.83,2024-05-31
191,A,72.67,2024-11-10
192,A,97.74,2024-06-08
193,B,123.02,2024-04-05
194,C,185.95,2024-08-20
195,C,18.52,2024-06-28
196,A,121.12,2024-04-22
197,A,326.02,2024-11-13
198,B,104.95,2024-02-21
199,B,208.18,2024-09-24
200,C,214.33,2024-10-21
201,C,223.96,2024-04-22
202,A,255.52,2024-04-10
203,C,288.08,2024-04-22
204,B,352.77,2024-03-21
205,B,156.46,2024-07-05
206,A,123.51,2024-04-22
207,B,225.19,2024-01-02
208,B,223.45,2024-05-09
209,B,266.62,2024-08-07
210,B,85.28,2024-02-23
211,A,259.62,2024-12-08
212,A,92.61,2024-08-11
213,C,210.66,2024-08-12
214,B,154.09,2024-05-05
215,C,311.84,2024-05-09
216,A,87.76,2024-02-22
217,A,202.25,2024-06-20
218,A,224.24,2024-08-05
219,A,157.03,2024-06-08
220,A,202.17,2024-07-16
221,A,148.18,2024-09-03
222,A,197.93,2024-11-19
223,B,220.22,2024-07-21
224,C,144.82,2024-07-02
225,A,175.57,2024-05-02
226,B,60.25,2024-09-11
227,B,153.7,2024-10-20
228,C,99.29,2024-10-06
229,A,171.73,2024-11-20
230,C,301.35,2024-04-07
231,A,324.35,2024-07-16
232,B,168.1,2024-08-27
233,B,104.06,2024-05-23
234,B,99.43,2024-04-06
235,B,370.0,2024-07-19
236,C,275.5,2024-05-03
237,A,169.38,2024-07-05
238,A,193.15,2024-11-21
239,C,167.54,2024-12-14
240,A,233.84,2024-09-15
241,B,184.18,2024-05-27
242,A,254.74,2024-09-08
243,B,256.32,2024-12-11
244,C,116.38,2024-05-26
245,A,216.01,2024-05-27
246,C,316.75,2024-12-17
247,A,232.43,2024-07-17
248,B,220.98,2024-11-03
249,C,128.57,2024-05-07
250,A,129.69,2024-02-08
251,B,185.43,2024-12-03
252,C,137.02,2024-12-25
253,C,286.61,2024-05-08
254,A,172.11,2024-09-23
255,A,133.29,2024-05-30
256,A,289.81,2024-10-24
257,B,107.22,2024-04-08
258,A,184.59,2024-09-19
259,C,141.55,2024-09-08
260,C,480.66,2024-05-23
261,A,184.72,2024-12-11
262,A,120.72,2024-04-21
263,C,189.94,2024-02-29
264,B,171.62,2024-01-02
265,A,130.3,2024-10-30
266,A,285.82,2024-09-10
267,C,245.87,2024-05-19
268,A,211.5,2024-02-06
269,B,125.82,2024-06-08
270,C,391.1,2024-01-09
271,A,219.33,2024-08-20
272,C,140.94,2024-04-08
273,A,297.47,2024-05-26
274,A,196.74,2024-10-30
275,A,281.39,2024-07-26
276,B,223.54,2024-05-10
277,B,445.9,2024-05-31
278,C,110.96,2024-02-23
279,A,144.56,2024-04-29
280,A,577.97,2024-06-09
281,B,178.44,2024-04-25
282,A,105.19,2024-03-15
283,B,239.79,2024-04-22
284,A,297.71,2024-04-13
285,C,177.26,2024-12-05
286,A,67.47,2024-09-10
287,A,119.1,2024-08-14
288,B,81.62,2024-04-21
289,A,418.56,2024-04-08
290,A,78.13,2024-06-01
291,B,141.42,2024-12-14
292,C,236.6,2024-12-03
293,C,97.93,2024-07-12
294,B,223.57,2024-11-05
295,B,133.47,2024-06-11
296,B,216.07,2024-07-26
297,B,162.59,2024-06-17
298,B,173.45,2024-06-09
299,C,294.34,2024-03-08
300,C,103.56,2024-10-15
301,B,215.63,2024-10-03
302,A,265.48,2024-10-30
303,B,98.39,2024-05-14
304,A,81.92,2024-07-13
305,B,164.1,2024-05-07
306,B,57.85,2024-02-02
307,C,209.5,2024-06-24
308,A,248.54,2024-01-22
309,A,90.37,2024-08-25
310,C,269.85,2024-06-06
311,C,313.48,2024-02-07
312,C,219.79,2024-08-17
313,C,322.88,2024-12-30
314,A,159.82,2024-02-20
315,A,142.99,2024-09-20
316,B,175.58,2024-10-09
317,B,110.76,2024-01-27
318,C,140.27,2024-08-13
319,C,187.47,2024-10-03
320,C,198.97,2024-10-12
321,B,228.56,2024-04-06
322,B,57.62,2024-10-10
323,B,572.98,2024-11-12
324,B,116.75,2024-10-30
325,B,248.06,2024-05-26
326,B,211.6,2024-01-04
327,B,135.9,2024-02-04
328,C,238.06,2024-07-10
329,C,118.1,2024-02-18
330,C,184.01,2024-01-17
331,C,418.81,2024-06-20
332,B,150.5,2024-08-07
333,A,192.56,2024-06-06
334,B,108.23,2024-02-15
335,A,250.59,2024-01-06
336,C,127.61,2024-04-08
337,B,213.49,2024-08-20
338,C,287.69,2024-02-06
339,B,165.7,2024-10-06
340,C,239.81,2024-12-14
341,A,219.11,2024-10-28
342,A,292.53,2024-06-29
343,A,240.37,2024-04-04
344,B,321.77,2024-04-08
345,A,164.98,2024-07-06
346,B,96.58,2024-04-25
347,A,77.61,2024-07-09
348,A,82.07,2024-09-09
349,B,161.65,2024-06-09
350,B,201.72,2024-09-12
351,A,132.47,2024-11-18
352,B,51.97,2024-05-07
353,A,133.65,2024-01-18
354,B,150.1,2024-10-07
355,C,184.95,2024-08-10
356,C,341.49,2024-02-23
357,C,69.25,2024-02-27
358,C,251.8,2024-11-18
359,C,240.94,2024-12-25
360,A,165.67,2024-06-22
361,C,222.64,2024-10-06
362,C,170.82,2024-04-23
363,C,238.65,2024-10-14
364,C,121.09,2024-12-07
365,B,113.88,2024-05-30
366,A,65.4,2024-05-06
367,C,223.1,2024-06-03
368,C,139.24,2024-09-29
369,C,80.38,2024-04-13
370,A,114.82,2024-10-25
371,B,238.45,2024-09-02
372,A,200.88,2024-06-24
373,B,116.83,2024-02-08
374,C,335.33,2024-06-18
375,C,180.25,2024-09-03
376,A,230.49,2024-01-26
377,A,198.96,2024-12-20
378,B,163.19,2024-11-01
379,B,223.52,2024-01-13
380,A,304.64,2024-11-11
381,B,161.85,2024-11-08
382,A,258.96,2024-02-05
383,B,132.42,2024-06-21
384,A,392.17,2024-01-20
385,A,123.86,2024-11-16
386,A,452.13,2024-09-20
387,B,98.84,2024-05-21
388,B,157.71,2024-05-22
389,B,228.66,2024-04-01
390,A,313.74,2024-12-19
391,B,365.02,2024-11-17
392,B,343.32,2024-10-14
393,A,224.83,2024-08-02
394,C,127.57,2024-12-07
395,A,284.39,2024-02-20
396,B,299.24,2024-06-01
397,A,214.06,2024-07-04
398,C,144.21,2024-03-03
399,A,106.79,2024-07-08
400,B,131.7,2024-05-04
401,C,128.46,2024-05-29
402,B,189.57,2024-11-09
403,C,290.69,2024-02-27
404,C,196.2,2024-12-07
405,A,102.57,2024-10-31
406,A,99.08,2024-06-28
407,B,253.39,2024-06-18
408,A,410.45,2024-11-21
409,A,195.12,2024-09-27
410,C,133.8,2024-02-23
411,A,113.48,2024-04-10
412,C,246.51,2024-09-20
413,C,359.65,2024-02-22
414,C,161.39,2024-02-29
415,B,144.23,2024-04-17
416,B,193.05,2024-01-05
417,B,262.51,2024-04-12
418,C,129.13,2024-07-14
419,B,206.82,2024-09-18
420,B,233.67,2024-12-30
421,A,241.65,2024-12-15
422,B,108.6,2024-02-16
423,B,119.86,2024-12-20
424,C,194.3,2024-11-06
425,C,254.78,2024-11-03
426,C,441.78,2024-05-23
427,C,104.97,2024-09-25
428,C,209.23,2024-05-03
429,C,186.53,2024-04-15
430,B,151.28,2024-06-06
431,C,306.67,2024-05-26
432,C,240.22,2024-05-24
433,A,243.42,2024-04-29
434,B,101.68,2024-11-14
435,B,157.79,2024-10-01
436,B,191.07,2024-04-01
437,C,201.79,2024-02-27
438,C,490.93,2024-12-11
439,C,161.91,2024-08-16
440,A,42.43,2024-04-26
441,C,192.25,2024-11-13
442,A,234.07,2024-10-05
443,B,191.37,2024-05-06
444,C,31.8,2024-05-08
445,A,213.17,2024-02-27
446,A,237.34,2024-05-01
447,C,96.33,2024-01-01
448,B,133.26,2024-08-26
449,B,181.3,2024-10-16
450,B,142.08,2024-04-05
451,A,153.36,2024-05-05
452,A,214.04,2024-04-27
453,A,137.49,2024-02-17
454,A,83.0,2024-03-29
455,B,277.13,2024-08-24
456,C,110.21,2024-09-28
457,A,169.19,2024-07-07
458,A,146.19,2024-07-10
459,B,102.66,2024-03-09
460,C,273.35,2024-10-04
461,C,260.58,2024-12-14
462,B,154.83,2024-09-03
463,B,185.36,2024-03-16
464,C,196.23,2024-06-02
465,A,105.73,2024-05-23
466,C,113.27,2024-03-26
467,B,184.01,2024-07-03
468,A,101.39,2024-10-11
469,A,183.22,2024-08-07
470,B,50.02,2024-03-09
471,B,150.8,2024-02-16
472,B,212.38,2024-04-03
473,C,205.14,2024-08-25
474,C,303.8,2024-07-22
475,A,105.6,2024-08-05
476,B,179.14,2024-12-06
477,A,278.14,2024-02-08
478,A,211.6,2024-04-09
479,A,264.62,2024-10-15
480,A,101.49,2024-09-10
481,B,192.14,2024-08-09
482,A,167.57,2024-12-22
483,B,194.56,2024-01-23
484,B,125.56,2024-09-06
485,C,322.89,2024-01-10
486,B,251.83,2024-09-02
487,C,305.65,2024-11-20
488,B,212.16,2024-04-09
489,B,131.94,2024-10-16
490,B,244.2,2024-06-28
491,C,324.43,2024-08-10
492,C,212.03,2024-09-06
493,A,117.56,2024-05-26
494,C,140.66,2024-04-05
495,C,190.02,2024-09-13
496,C,342.81,2024-11-20
497,C,389.3,2024-01-04
498,A,122.19,2024-01-16
499,C,219.46,2024-10-06
500,B,139.84,2024-12-01
