TransactionID,CustomerSegment,PurchaseAmount,TransactionDate
245,A,185.09,2024-12-15
246,C,308.64,2025-04-04
247,C,278.14,2025-02-11
248,C,227.78,2025-03-10
249,B,304.22,2025-04-25
250,C,269.55,2025-07-03
251,C,99.62,2024-12-26
252,C,253.37,2025-06-12
253,C,235.57,2025-08-27
254,A,185.53,2024-12-09
255,A,129.24,2025-09-29
256,C,229.77,2025-09-29
257,B,96.04,2025-01-27
258,A,198.93,2025-06-11
259,C,169.15,2025-03-03
260,A,137.06,2024-11-29
261,A,259.44,2025-10-13
262,B,197.93,2024-12-17
263,C,208.7,2025-05-30
264,C,245.39,2025-06-10
265,B,199.56,2024-12-06
266,B,222.57,2025-05-20
267,C,240.79,2025-06-25
268,C,228.34,2025-05-23
269,B,214.3,2025-11-20
270,A,289.16,2025-07-17
271,A,262.1,2025-04-06
272,B,195.71,2025-10-13
273,A,154.52,2025-01-17
274,B,231.93,2025-03-23
275,A,210.79,2025-10-27
276,A,285.45,2025-11-04
277,C,249.37,2025-06-20
278,C,238.21,2024-11-29
279,A,200.65,2025-06-22
280,A,156.22,2025-10-19
281,C,190.1,2025-09-06
282,C,223.84,2024-12-06
283,C,113.52,2025-03-14
284,B,262.09,2025-05-05
285,A,303.35,2025-09-11
286,C,102.75,2025-11-15
287,A,129.99,2025-02-05
288,B,211.48,2025-04-17
289,B,170.87,2025-11-14
290,C,213.05,2025-10-12
291,B,196.42,2025-06-25
292,A,148.81,2025-08-06
293,C,264.42,2025-04-08
294,A,223.23,2025-11-10
295,A,172.01,2024-12-02
296,B,275.25,2025-04-18
297,B,174.58,2024-12-08
298,B,137.91,2025-05-23
299,B,209.18,2024-12-18
300,B,217.66,2024-11-27
301,C,226.6,2025-06-17
302,A,234.82,2025-01-05
303,A,225.81,2025-09-14
304,A,223.77,2025-04-08
305,A,171.31,2025-04-17
306,B,165.96,2025-01-12
307,A,237.12,2025-09-28
308,C,212.17,2024-12-27
309,C,241.01,2025-04-19
310,A,114.64,2025-10-21
311,A,174.96,2025-02-22
312,C,295.35,2025-05-15
313,C,227.63,2024-12-10
314,B,214.78,2025-03-30
315,C,235.4,2025-01-07
316,B,310.42,2025-04-22
317,B,299.9,2025-05-19
318,B,121.02,2025-11-10
319,B,139.47,2025-11-15
320,B,119.33,2025-05-18
321,A,162.64,2025-11-05
322,C,202.75,2025-07-30
323,B,212.1,2025-05-01
324,C,123.48,2025-01-25
325,C,106.63,2025-03-02
326,B,161.76,2025-05-19
327,A,245.81,2025-06-05
328,B,254.52,2025-02-15
329,A,285.29,2025-05-07
330,C,198.38,2025-06-16
331,A,241.41,2025-03-21
332,A,250.49,2025-04-14
333,A,175.16,2025-11-20
334,C,219.39,2025-10-29
335,C,232.94,2025-10-25
336,A,154.54,2025-07-16
337,A,282.1,2025-09-09
338,B,198.06,2025-09-30
339,A,204.35,2025-11-01
340,B,152.63,2025-04-15
341,A,161.03,2025-02-15
342,B,90.17,2025-11-23
343,C,202.76,2025-08-20
344,A,325.28,2025-10-19
345,A,149.07,2025-03-01
346,A,348.81,2025-02-15
347,A,270.71,2025-06-23
348,B,176.32,2025-09-13
349,A,201.36,2025-02-12
350,C,193.24,2025-07-20
351,C,285.31,2025-06-05
352,A,225.85,2025-09-04
353,C,259.1,2025-11-05
354,A,217.91,2025-10-31
355,A,194.4,2025-05-16
356,C,216.32,2024-12-25
357,A,179.65,2025-04-05
358,C,127.39,2025-08-27
359,B,240.68,2025-11-06
360,A,124.94,2025-01-28
361,B,186.56,2024-12-05
362,C,178.01,2025-09-04
363,B,232.17,2025-03-10
364,B,278.24,2025-07-03
365,C,260.25,2025-03-15
366,B,233.62,2025-09-30
367,B,168.51,2025-11-12
368,C,190.83,2025-06-18
369,B,183.54,2025-06-17
370,C,176.49,2025-01-11
371,B,179.88,2025-02-19
372,C,178.54,2025-02-20
373,C,176.33,2025-11-15
374,B,247.59,2025-02-26
375,B,147.27,2025-03-01
376,B,163.53,2025-05-03
377,A,120.83,2025-10-31
378,A,270.77,2025-09-16
379,A,160.17,2025-09-28
380,C,233.04,2025-07-05
381,B,223.77,2025-08-26
382,C,265.94,2025-01-22
383,A,189.5,2025-11-19
384,B,152.62,2025-09-09
385,C,122.21,2025-10-31
386,B,60.77,2025-06-06
387,C,208.07,2025-10-08
388,B,238.77,2025-05-12
389,A,223.58,2024-12-13
390,A,123.51,2025-05-30
391,B,251.94,2025-11-03
392,C,165.09,2025-01-15
393,A,154.65,2025-10-12
394,A,163.97,2025-11-12
395,A,203.92,2025-06-27
396,B,125.76,2025-04-19
397,B,198.15,2025-05-05
398,C,221.47,2025-02-27
399,C,255.37,2025-04-05
400,C,208.8,2024-12-22
401,B,133.02,2025-04-13
402,B,207.44,2025-11-18
403,C,146.99,2025-06-14
404,C,144.1,2025-01-12
405,B,131.86,2025-04-27
406,C,104.44,2025-08-02
407,A,171.64,2024-12-18
408,B,256.44,2025-09-16
409,C,312.82,2025-09-24
410,B,171.32,2025-05-06
411,A,254.31,2025-05-02
412,B,180.27,2025-09-16
413,B,117.46,2025-02-23
414,B,235.05,2025-02-26
415,B,211.74,2025-01-11
416,A,290.9,2024-12-24
417,B,123.27,2025-08-24
418,B,339.8,2025-06-14
419,C,279.59,2025-10-26
420,B,199.1,2025-11-16
421,C,185.07,2025-01-30
422,A,164.21,2025-04-24
423,A,205.49,2025-02-11
424,A,190.8,2025-08-17
425,A,225.69,2025-03-05
426,C,185.28,2025-04-27
427,B,270.75,2025-06-01
428,A,206.25,2025-08-31
429,B,187.16,2025-10-17
430,C,251.21,2025-09-12
431,C,118.87,2025-10-12
432,C,217.05,2025-06-20
433,A,201.28,2025-09-08
434,B,129.46,2025-01-21
435,B,114.57,2025-09-02
436,B,250.52,2025-08-27
437,C,248.14,2025-07-02
438,A,208.63,2025-06-19
439,C,285.83,2025-05-09
440,C,222.05,2025-03-30
441,B,262.49,2024-12-09
442,C,221.02,2025-11-25
443,B,186.21,2025-04-16
444,A,147.12,2025-02-11
445,B,169.83,2025-04-08
446,A,187.14,2025-09-11
447,B,268.16,2025-08-03
448,C,238.5,2025-06-26
449,C,216.52,2025-08-16
450,A,243.5,2025-05-17
451,A,226.37,2025-06-14
452,A,213.1,2024-12-03
453,B,125.07,2025-08-29
454,B,256.96,2025-06-06
455,A,177.07,2025-07-28
456,C,254.43,2025-07-07
457,B,259.26,2025-08-13
458,B,166.5,2025-01-26
459,B,247.49,2024-12-02
460,A,181.95,2025-01-14
461,A,182.25,2025-07-27
462,A,212.87,2025-11-18
463,A,214.22,2025-03-10
464,A,201.93,2025-09-15
465,C,133.29,2024-12-03
466,C,193.93,2025-04-18
467,A,313.92,2025-10-17
468,B,60.8,2025-05-07
469,A,243.49,2025-03-08
470,C,252.86,2025-01-03
471,C,132.08,2025-06-02
472,B,176.53,2024-12-14
473,C,149.96,2025-01-13
474,A,292.7,2025-09-04
475,B,255.15,2025-01-13
476,A,257.57,2025-08-08
477,A,206.03,2025-03-21
478,B,265.6,2025-11-20
479,A,199.59,2025-09-04
480,C,267.96,2025-05-03
481,A,192.57,2025-01-17
482,B,166.04,2025-11-05
483,B,290.55,2025-11-24
484,B,198.96,2025-07-23
485,A,155.06,2025-02-03
486,B,154.52,2025-05-23
487,B,154.67,2024-11-30
488,A,242.22,2025-11-13
489,C,195.06,2025-11-15
490,A,314.9,2025-09-01
491,B,259.31,2025-11-15
492,B,212.86,2025-11-02
493,A,270.19,2025-01-30
494,C,175.22,2025-03-29
495,B,107.26,2025-07-28
496,B,150.52,2025-07-03
497,B,207.36,2025-10-03
498,A,188.87,2025-04-03
499,B,241.22,2024-12-06
500,C,193.77,2025-06-07
